smiles,chembl_id,has_single_amine,amine_type,logP,MW,HDonors,HAcceptors
CCCN(CCc1ccsc1)C1CCc2c(O)cccc2C1,CHEMBL7806,True,tertiary,4.265700000000003,315.482,1,3
O=C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)c1ccccc1Br,CHEMBL7466,True,secondary,2.580400000000001,364.19500000000005,3,3
Br.CCN(CC)CCCOc1c2occc2cc2ccc(=O)oc12,CHEMBL6774,True,tertiary,4.227800000000004,396.28100000000006,0,5
Fc1ccccc1Cn1cnc2c(NC3CC3)ncnc21,CHEMBL268616,True,secondary,2.588000000000001,283.31,1,4
COc1ccc(CCNCC(O)COC(=O)c2ccccc2Cl)cc1OC,CHEMBL7330,True,secondary,2.707200000000001,393.8670000000001,2,6
Nc1nc(O)c2ncn(CCCCCP(=O)(O)CP(=O)(O)O)c2n1,CHEMBL269745,True,primary,0.6899999999999997,379.25,5,7
CNc1ncnc2c1ncn2Cc1cccc(F)c1F,CHEMBL6854,True,secondary,2.1944999999999997,275.262,1,4
COc1ccc(Cl)c(C2(F)C(=O)Nc3cc(Br)ccc32)c1,CHEMBL266993,True,secondary,4.276300000000002,370.605,1,2
C=CCOc1noc2c1CNCC2.Cl,CHEMBL268175,True,secondary,1.3069,216.66799999999998,1,4
CCOC(=O)c1ccc(N/C(S)=N/c2cccc3c2OC(C)(C)CC3(C)C)cc1,CHEMBL7543,True,secondary,5.731400000000004,412.5550000000003,2,4
CCOC(=O)C1=C(O)C(=O)N(C2CCCCC2)C1,CHEMBL267879,True,tertiary,1.5365,253.29799999999992,1,4
CC(C)(C)NCC(O)COC(=O)c1ccncc1,CHEMBL7336,True,secondary,0.9873999999999996,252.314,2,5
CC(C)(C)OC(=O)C1=C(O)C(=O)N(Cc2ccccc2)C1,CHEMBL7008,True,tertiary,2.1826,289.331,1,4
CC(C)(C)NCC(O)COC(=O)c1ccccc1F,CHEMBL7024,True,secondary,1.7314999999999998,269.316,2,4
NC1=NC(c2ccc(F)cc2)Cc2cccc(F)c21,CHEMBL7945,True,primary,2.967500000000002,258.271,1,2
CC1=C(C(=O)OC(C)(C)C)N2C(=O)/C(=C\OC(=O)C(C)(C)C)[C@H]2S(=O)(=O)C1,CHEMBL6865,True,tertiary,1.6720000000000002,399.46500000000015,0,7
CC(C)NCC(O)COC(=O)c1ccc2ccccc2c1,CHEMBL7739,True,secondary,2.3555,287.35900000000004,2,4
C#CCOc1cccc2c1-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3,CHEMBL8360,True,secondary,5.982600000000005,371.48000000000013,1,3
CC(=O)Cc1c([N+](=O)[O-])oc2ccc3ccccc3c12,CHEMBL266774,True,tertiary,3.625700000000002,269.25600000000003,0,4
